State,State Tax Rate,State Tax Rank,Avg. Local Tax Rate,Max Local,Combined Tax Rate,Combined Rank
Alabama,0.04,40,0.05457026250214512,0.11,0.09457026250214512,5
Alaska,0,46,0.018210609880122908,0.0785,0.018210609880122908,46
Arizona,0.056,28,0.02919363998200269,0.053,0.08519363998200269,11
Arkansas,0.065,9,0.029626313806135555,0.06125,0.09462631380613556,4
California (a),0.0725,1,0.017369789553059452,0.052500000000000005,0.08986978955305945,7
Colorado,0.029,45,0.04994089145099498,0.091,0.07894089145099498,16
Connecticut,0.0635,12,0,0,0.0635,33
Delaware,0,46,0,0,0,47
Florida,0.06,17,0.009786772682479274,0.02,0.06978677268247926,28
Georgia,0.04,40,0.03491221275849462,0.05,0.07491221275849462,18
Hawaii (b),0.04,40,0.005000000000000002,0.005,0.045000000000000005,45
Idaho,0.06,17,0.00026605144478322864,0.03,0.060266051444783225,37
Illinois,0.0625,13,0.027144682891972454,0.0475,0.08964468289197246,8
Indiana,0.07,2,0,0,0.07,24
Iowa,0.06,17,0.009426906142978139,0.02,0.06942690614297814,29
Kansas,0.065,9,0.02189682958440626,0.0425,0.08689682958440625,9
Kentucky,0.06,17,0,0,0.06,38
Louisiana,0.05,32,0.05113365471691274,0.07,0.10113365471691274,1
Maine,0.055,29,0,0,0.055,44
Maryland,0.06,17,0,0,0.06,38
Massachusetts,0.0625,13,0,0,0.0625,35
Michigan,0.06,17,0,0,0.06,38
Minnesota,0.06875,6,0.012600205949043404,0.030000000000000002,0.08135020594904341,15
Mississippi,0.07,2,0.000617844024421236,0.01,0.07061784402442124,23
Missouri,0.04225,38,0.04216420033316295,0.05763,0.08441420033316295,12
Montana (c),0,46,0,0,0,47
Nebraska,0.055,29,0.014819901536526042,0.02,0.06981990153652604,27
Nevada,0.0685,7,0.013855228885606384,0.01525,0.0823552288856064,13
New Hampshire,0,46,0,0,0,47
New Jersey (d),0.06625,8,-0.00023627598596236143,0.033125,0.06601372401403764,30
New Mexico (b),0.04875,35,0.027919692759808937,0.045625,0.07666969275980894,17
New York,0.04,40,0.04541600340943924,0.04875,0.08541600340943925,10
North Carolina,0.0475,36,0.02246102858660858,0.0275,0.06996102858660858,26
North Dakota,0.05,32,0.02091344802984336,0.037500000000000006,0.07091344802984337,22
Ohio,0.0575,27,0.015449107653465518,0.0225,0.07294910765346552,21
Oklahoma,0.045,37,0.04559219351426701,0.07,0.090592193514267,6
Oregon,0,46,0,0,0,47
Pennsylvania,0.06,17,0.003407534703349484,0.02,0.06340753470334948,34
Rhode Island,0.07,2,0,0,0.07,24
South Carolina,0.06,17,0.014862707557124048,0.03,0.07486270755712404,19
South Dakota (b),0.042,39,0.019137963944977257,0.045,0.06113796394497726,36
Tennessee,0.07,2,0.026097171193949227,0.0275,0.09609717119394923,2
Texas,0.0625,13,0.01950841132277751,0.02,0.0820084113227775,14
Utah (a),0.061,16,0.013168894590717645,0.047,0.07416889459071764,20
Vermont,0.06,17,0.00389787371987588,0.01,0.06389787371987588,32
Virginia (a),0.053,31,0.0047147944024725705,0.027,0.05771479440247257,41
Washington,0.065,9,0.030132843641391363,0.041,0.09513284364139137,3
West Virginia,0.06,17,0.0058724905826563175,0.01,0.06587249058265632,31
Wisconsin,0.05,32,0.007200208815982216,0.028999999999999998,0.05720020881598222,42
Wyoming,0.04,40,0.01559835688892743,0.03,0.05559835688892743,43
District of Columbia,0.06,,0,0,0.06,
