item,All consumer units,"Less than $15,000","$15,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 and more"
Income before taxes,104207.0,7637.0,22443.0,34984.0,44824.0,59582.0,83888.0,121852.0,171847.0,322142.0
Average people per consumer unit,2.4,1.6,1.6,2.0,2.2,2.3,2.5,2.9,3.1,3.3
Average children under 18,0.6,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.9
Average earners,1.3,0.4,0.5,0.7,0.9,1.1,1.5,1.8,2.0,2.1
Average vehicles per consumer unit,1.9,0.8,1.1,1.5,1.6,1.7,1.9,2.3,2.6,2.8
Average annual expenditures,78535.0,32118.0,36368.0,46246.0,50375.0,59378.0,71369.0,89727.0,117378.0,170722.0
Food,10169.0,5315.0,5448.0,6956.0,6933.0,8447.0,9531.0,11902.0,14546.0,18453.0
Alcoholic beverages,643.0,262.0,234.0,276.0,352.0,433.0,521.0,727.0,974.0,1668.0
Shelter,16317.0,8508.0,9546.0,10907.0,12370.0,13706.0,15961.0,17911.0,21214.0,31156.0
"Utilities, fuels, and public services",4736.0,2543.0,3191.0,3859.0,4173.0,4320.0,4865.0,5422.0,6051.0,6938.0
Natural gas,493.0,230.0,322.0,373.0,436.0,438.0,480.0,553.0,655.0,806.0
Electricity,1833.0,1129.0,1376.0,1589.0,1715.0,1735.0,1887.0,2020.0,2185.0,2485.0
Fuel oil and other fuels,125.0,40.0,78.0,121.0,101.0,103.0,88.0,134.0,181.0,257.0
Telephone services,1460.0,756.0,886.0,1127.0,1219.0,1332.0,1556.0,1776.0,1955.0,2055.0
Water and other public services,826.0,388.0,529.0,649.0,701.0,712.0,854.0,938.0,1076.0,1334.0
Household operations,1921.0,923.0,803.0,1100.0,1104.0,1431.0,1512.0,2004.0,2885.0,4828.0
Housekeeping supplies,877.0,484.0,501.0,634.0,694.0,751.0,858.0,1025.0,1223.0,1425.0
Household furnishings and equipment,2414.0,910.0,1145.0,1328.0,1436.0,1670.0,2002.0,3091.0,3517.0,5387.0
Apparel and services,2001.0,1002.0,1119.0,1329.0,1324.0,1534.0,1601.0,2081.0,2945.0,4433.0
Transportation,13318.0,4331.0,5618.0,7541.0,8651.0,10324.0,12310.0,16020.0,20611.0,28335.0
Vehicle purchases (net outlay),5337.0,1301.0,1977.0,2514.0,3020.0,3754.0,4223.0,5981.0,9263.0,13542.0
Gasoline and other fuels,2645.0,1224.0,1303.0,1811.0,2148.0,2370.0,2802.0,3335.0,3814.0,4012.0
Other vehicle expenses,4206.0,1425.0,1819.0,2761.0,3061.0,3546.0,4301.0,5461.0,5864.0,7606.0
Vehicle insurance,1993.0,713.0,1015.0,1595.0,1717.0,1787.0,2165.0,2564.0,2643.0,2959.0
Public and other transportation,1131.0,381.0,520.0,456.0,422.0,654.0,983.0,1244.0,1670.0,3175.0
Healthcare,6197.0,2802.0,3691.0,4802.0,5026.0,5173.0,6116.0,7147.0,8805.0,10343.0
Entertainment,3609.0,1069.0,1446.0,2042.0,1868.0,2530.0,3171.0,3937.0,5710.0,8969.0
Personal care products and services,978.0,387.0,434.0,619.0,635.0,778.0,912.0,1148.0,1427.0,2020.0
Reading,125.0,48.0,47.0,78.0,78.0,82.0,82.0,118.0,201.0,354.0
Education,1569.0,1436.0,478.0,479.0,262.0,501.0,829.0,1396.0,2207.0,5938.0
Tobacco products and smoking supplies,352.0,368.0,322.0,362.0,371.0,419.0,399.0,372.0,304.0,240.0
Miscellaneous,1218.0,588.0,629.0,847.0,705.0,997.0,1312.0,1353.0,1566.0,2419.0
Cash contributions,2292.0,723.0,811.0,1094.0,1551.0,1768.0,2174.0,2067.0,4618.0,5176.0
Personal insurance and pensions,9797.0,419.0,905.0,1994.0,2843.0,4514.0,7214.0,12006.0,18575.0,32642.0
